1 0.15 5000.0 0.25
1 0.15 5000.0 0.37
1 0.14 5000.0 0.17
2 0.1 0.0 0.46
1 0.14 5000.0 0.68
1 0.13 5000.0 0.66
1 0.16 5000.0 0.83
10 0.1 45000.0 0.13
10 0.13 5000.0 0.27
10 0.12 5000.0 0.93
10 0.18 15000.0 0.43
10 0.3 25000.0 0.8
10 0.12 0.0 0.33
10 0.75 20000.0 0.7
10 0.67 30000.0 0.46
10 0.21 5000.0 0.54
10 0.13 10000.0 0.09
10 0.11 0.0 0.14
10 0.16 30000.0 0.6
10 0.26 55000.0 0.03
10 0.26 15000.0 0.65
10 0.29 15000.0 0.51
10 0.1 0.0 0.72
10 0.12 0.0 0.43
10 0.16 10000.0 0.37
10 0.47 35000.0 0.81
10 0.1 25000.0 0.97
10 0.54 35000.0 0.61
10 0.12 65000.0 0.57
10 0.34 15000.0 0.04
10 0.14 10000.0 0.63
10 0.62 30000.0 0.22
10 0.11 5000.0 0.75
10 0.23 10000.0 0.94
10 0.11 10000.0 0.02
10 0.14 10000.0 0.48
10 0.14 10000.0 0.69
1
65000
