30 0.15 5000.0 0.74
60 1.15 5000.0 0.33
1 0.14 5000.0 0.71
2 0.1 0.0 0.18
1 0.14 5000.0 0.15
1 0.13 5000.0 0.89
1 0.16 5000.0 0.71
10 0.1 45000.0 0.34
10 0.13 5000.0 0.08
10 0.12 5000.0 0.87
10 0.18 15000.0 0.85
10 0.3 25000.0 0.79
10 0.12 0.0 0.52
10 0.75 20000.0 0.56
10 0.67 30000.0 0.91
10 0.21 5000.0 0.0
10 0.13 10000.0 0.07	
10 0.11 0.0 0.8
10 0.16 30000.0 0.61
10 0.26 55000.0 0.58
10 0.26 15000.0 0.35
10 0.29 15000.0 0.62
10 0.1 0.0 0.04
10 0.12 0.0 0.29
10 0.16 10000.0 0.5
10 0.47 35000.0 0.63
10 0.1 25000.0 0.12
10 0.54 35000.0 0.62
10 0.12 65000.0 0.94
10 0.34 15000.0 0.09
10 0.14 10000.0 0.53
120 3.62 30000.0 0.84
10 0.11 5000.0 0.11
10 0.23 10000.0 0.29
10 0.11 10000.0 0.68
10 0.14 10000.0 0.17
10 0.14 10000.0 0.46
1
65000
